Make,Model,Year,Mileage,Engine_Size_L,Horsepower,Weight_lbs,Fuel_Type,Transmission,Price,Doors,Cylinders
Mercedes,F-150,2003,97821,2.5,180,3893,Gasoline,Automatic,64121,4,6
Toyota,A4,2023,118508,3.0,215,3346,Electric,Automatic,91576,4,4
Chevrolet,F-150,2000,69995,5.0,367,2662,Gasoline,Automatic,75575,4,6
Audi,3 Series,2011,120485,5.0,458,3851,Gasoline,Automatic,142135,4,4
BMW,Golf,2008,132674,6.0,480,3100,Gasoline,Automatic,150000,4,4
Honda,Altima,2019,132446,2.0,144,3340,Gasoline,Manual,42413,4,4
BMW,Golf,2022,59662,1.0,60,1879,Diesel,Automatic,79786,4,6
Volkswagen,Tucson,2011,116643,5.0,406,3241,Hybrid,Automatic,130282,2,6
Hyundai,Silverado,2014,60133,4.0,305,2989,Gasoline,Automatic,69244,4,8
Mercedes,C-Class,2020,71251,6.0,453,3761,Gasoline,Automatic,150000,4,8
Audi,Golf,2021,88009,1.0,50,2667,Gasoline,Automatic,50570,4,4
BMW,A4,2021,72198,3.0,208,3056,Hybrid,Automatic,133295,4,4
BMW,A4,2009,49050,6.0,504,2546,Gasoline,Automatic,150000,4,6
Audi,Golf,2018,74818,5.0,371,3040,Gasoline,Automatic,142005,4,6
Mercedes,Civic,2002,135987,1.0,104,2478,Diesel,Automatic,22065,4,4
Audi,3 Series,2023,89912,5.0,401,2113,Hybrid,Manual,150000,4,4
Toyota,Civic,2010,107661,6.0,490,2576,Gasoline,Manual,115262,4,4
Ford,A4,2022,155584,1.0,96,2716,Gasoline,Manual,34952,4,4
Chevrolet,Golf,2018,111594,1.0,71,3745,Gasoline,Automatic,21761,4,4
Mercedes,Camry,2003,65116,4.0,306,2019,Diesel,Manual,126696,4,4
Ford,C-Class,2017,109585,2.5,170,1800,Gasoline,CVT,53320,4,4
Chevrolet,Altima,2013,0,3.0,231,3104,Gasoline,Automatic,71111,4,6
Nissan,Golf,2017,133965,5.0,400,2913,Diesel,CVT,103354,4,4
Hyundai,Civic,2011,47775,1.0,90,4273,Hybrid,Automatic,33759,4,4
Toyota,F-150,2018,160862,6.0,407,2322,Gasoline,Automatic,95139,4,4
Ford,C-Class,2014,88818,4.0,314,3154,Diesel,CVT,86692,4,4
Ford,Camry,2000,122413,6.0,488,2345,Hybrid,Automatic,116656,4,8
Volkswagen,Civic,2015,55146,2.5,185,4113,Gasoline,Automatic,65058,4,4
Ford,Silverado,2016,77692,1.0,87,3508,Diesel,Manual,40836,4,4
Chevrolet,Tucson,2022,59385,2.5,159,1800,Gasoline,Automatic,65494,4,8
Nissan,Silverado,2010,113650,5.0,427,2759,Hybrid,Automatic,123471,4,4
Mercedes,A4,2018,100709,6.0,489,3189,Diesel,Manual,150000,2,6
Nissan,F-150,2003,81420,6.0,533,2652,Gasoline,Automatic,118264,4,4
Volkswagen,Tucson,2023,78688,1.5,89,3149,Diesel,Automatic,50695,4,4
Mercedes,Civic,2011,43285,1.0,50,4338,Gasoline,Automatic,44677,4,6
Ford,Altima,2006,10635,4.0,335,2816,Hybrid,Manual,92801,2,6
Hyundai,A4,2023,88538,2.5,195,3387,Diesel,Automatic,64955,4,6
Chevrolet,3 Series,2016,129222,4.0,300,2977,Gasoline,Manual,68477,4,4
Mercedes,Camry,2009,117572,3.0,192,4508,Gasoline,Automatic,69263,4,4
Volkswagen,Tucson,2004,132014,1.5,82,2478,Gasoline,Automatic,18665,4,4
BMW,3 Series,2002,63358,6.0,473,3501,Gasoline,Automatic,150000,4,8
BMW,3 Series,2007,88514,3.0,235,1800,Diesel,Automatic,93060,4,6
Honda,Silverado,2020,68716,5.0,389,2279,Hybrid,Automatic,132679,4,4
BMW,Silverado,2016,87134,1.0,78,3602,Gasoline,Automatic,46749,4,6
Volkswagen,A4,2012,100529,5.0,376,3537,Gasoline,Manual,99466,4,6
Volkswagen,F-150,2020,85165,5.0,391,2877,Diesel,Manual,115797,4,6
Nissan,Camry,2021,59758,2.0,174,4063,Gasoline,Automatic,61776,4,4
Chevrolet,C-Class,2020,175161,6.0,486,3867,Gasoline,Automatic,107856,4,4
Ford,Altima,2003,93270,1.5,101,1884,Gasoline,Automatic,27925,4,6
Honda,3 Series,2021,145531,1.5,130,3746,Diesel,Automatic,47339,4,6
Volkswagen,C-Class,2021,63407,1.5,134,2832,Gasoline,Automatic,55508,4,4
Nissan,Golf,2023,70032,2.5,244,3263,Gasoline,Manual,73700,4,6
BMW,Civic,2022,92649,1.0,65,2020,Hybrid,Automatic,72420,4,4
Honda,Altima,2010,100414,6.0,484,2916,Gasoline,Automatic,117637,4,6
Honda,Altima,2000,126173,2.5,211,2709,Gasoline,Automatic,39615,4,6
BMW,Golf,2004,105716,2.5,206,3886,Diesel,Automatic,64483,4,6
Volkswagen,Altima,2019,198524,4.0,299,3411,Gasoline,CVT,79414,4,6
Volkswagen,C-Class,2006,61312,4.0,273,2958,Gasoline,Automatic,78975,4,4
BMW,Civic,2009,162133,4.0,335,1820,Gasoline,CVT,124215,2,6
Chevrolet,C-Class,2007,77167,6.0,478,2434,Gasoline,Automatic,104845,4,6
Volkswagen,Golf,2012,6497,5.0,436,2751,Diesel,CVT,131916,4,6
BMW,A4,2001,20178,5.0,395,2438,Hybrid,Automatic,150000,4,4
Hyundai,Altima,2004,64484,2.5,163,1800,Gasoline,CVT,38737,4,4
BMW,Altima,2019,67285,6.0,466,2958,Gasoline,Automatic,150000,4,4
Chevrolet,Camry,2014,0,3.0,216,4506,Gasoline,Automatic,64550,4,4
Nissan,3 Series,2010,44954,3.0,295,2749,Gasoline,Automatic,75421,4,4
Honda,Tucson,2021,5650,6.0,460,1897,Hybrid,Automatic,150000,4,4
Chevrolet,Civic,2024,82590,6.0,499,2648,Gasoline,Manual,119283,4,8
Hyundai,Civic,2019,52994,1.0,50,2966,Gasoline,Manual,40264,2,4
Ford,C-Class,2013,86535,2.5,203,3127,Gasoline,Automatic,50221,4,6
BMW,Silverado,2014,115672,4.0,315,3393,Gasoline,Automatic,129241,4,4
Hyundai,F-150,2019,140132,3.0,215,2553,Electric,Automatic,80577,4,4
Volkswagen,Silverado,2019,22976,2.0,214,4042,Gasoline,Automatic,66595,4,4
BMW,3 Series,2013,162664,1.5,116,3322,Electric,Manual,68752,4,4
Honda,C-Class,2009,0,6.0,485,1800,Diesel,Automatic,145223,4,4
Honda,Tucson,2016,96810,3.0,254,2348,Diesel,Automatic,75955,2,4
Volkswagen,A4,2009,40641,4.0,280,4929,Hybrid,Manual,85192,4,4
Audi,Silverado,2024,54376,5.0,382,2691,Gasoline,Automatic,150000,4,4
Mercedes,Altima,2014,109129,1.0,81,2841,Hybrid,Automatic,56824,4,4
Chevrolet,Civic,2022,1429,2.5,236,4365,Gasoline,CVT,74646,4,6
Chevrolet,Silverado,2009,25040,1.5,95,3107,Diesel,Automatic,41783,4,6
Toyota,C-Class,2011,21695,6.0,436,1800,Electric,Automatic,150000,4,4
Ford,Civic,2006,113968,5.0,426,1851,Gasoline,Automatic,89552,4,4
Nissan,Camry,2016,0,2.5,247,4917,Hybrid,Automatic,85182,4,4
Hyundai,Camry,2024,111648,1.5,149,3362,Gasoline,CVT,51780,4,6
Toyota,C-Class,2013,87116,4.0,375,1806,Gasoline,Automatic,94801,4,4
Honda,Silverado,2014,72696,1.5,104,3155,Gasoline,Automatic,53127,4,6
Chevrolet,Civic,2007,40535,6.0,449,3359,Gasoline,Automatic,103949,4,6
Toyota,Silverado,2014,107065,4.0,297,2706,Diesel,Automatic,86775,4,6
Honda,F-150,2019,114230,2.0,174,4564,Gasoline,Automatic,53555,4,4
Audi,Golf,2004,77485,2.0,226,3326,Hybrid,Automatic,77031,4,6
Audi,Silverado,2004,99481,1.0,98,2869,Gasoline,Automatic,36599,4,6
BMW,A4,2006,162695,5.0,370,3628,Gasoline,CVT,128390,4,4
BMW,A4,2007,117936,1.5,190,2901,Gasoline,Automatic,55084,4,6
Chevrolet,Tucson,2006,0,4.0,312,2842,Gasoline,Automatic,84461,4,4
Mercedes,Civic,2011,38487,2.0,112,4216,Diesel,Manual,78976,4,8
Audi,F-150,2014,73701,4.0,344,2712,Diesel,Automatic,143649,2,6
Honda,A4,2013,61937,1.0,69,3349,Gasoline,Automatic,31703,4,4
Honda,Civic,2007,195860,6.0,446,4437,Hybrid,Automatic,108797,4,4
Nissan,A4,2022,121674,2.0,171,3332,Gasoline,Automatic,58675,4,8
Nissan,C-Class,2024,35748,2.0,145,3159,Hybrid,Automatic,69605,4,6
Honda,C-Class,2012,32100,4.0,305,2185,Gasoline,Automatic,105268,4,4
Chevrolet,Altima,2003,24589,1.5,128,3368,Diesel,Manual,37354,4,4
BMW,Tucson,2015,88298,3.0,249,3522,Diesel,Manual,119905,4,4
Nissan,Silverado,2001,71177,1.0,105,2015,Electric,CVT,37026,4,4
Honda,Camry,2020,133374,5.0,401,3008,Diesel,Automatic,125961,4,4
Volkswagen,Camry,2024,0,1.0,60,2940,Gasoline,Automatic,64183,4,6
Hyundai,A4,2020,115693,5.0,443,2187,Gasoline,Automatic,99208,2,6
Nissan,F-150,2018,90149,3.0,246,3448,Gasoline,Automatic,72214,4,6
Mercedes,Tucson,2000,110666,1.5,110,4348,Hybrid,Automatic,44428,4,4
Mercedes,Golf,2002,33960,2.0,182,1800,Gasoline,Automatic,87406,2,6
Hyundai,3 Series,2019,50034,4.0,341,3529,Hybrid,Manual,104890,4,4
Nissan,Camry,2024,111600,5.0,369,2893,Diesel,Manual,108590,4,6
Hyundai,Civic,2002,83650,2.5,159,3339,Gasoline,Automatic,29970,2,4
Honda,C-Class,2004,59865,4.0,327,3337,Hybrid,Manual,90013,4,4
Audi,Silverado,2008,112443,6.0,501,2601,Gasoline,Automatic,150000,4,8
Audi,C-Class,2017,72903,2.5,188,3005,Gasoline,Automatic,89507,4,4
Honda,A4,2013,149224,6.0,482,2507,Gasoline,Automatic,117294,4,6
Ford,C-Class,2014,89719,5.0,392,3496,Electric,Automatic,131444,4,4
Mercedes,Camry,2002,58831,1.0,85,2906,Gasoline,Automatic,43370,2,4
Honda,C-Class,2017,70244,6.0,541,2808,Gasoline,Automatic,143346,4,4
BMW,Tucson,2005,85218,6.0,468,3047,Gasoline,Manual,150000,4,6
Honda,3 Series,2008,25860,2.5,196,3700,Gasoline,Automatic,60158,4,6
Nissan,Camry,2001,128312,1.5,96,3994,Diesel,Automatic,11722,4,4
Mercedes,Altima,2002,96786,4.0,299,3002,Diesel,Manual,118960,4,4
BMW,Civic,2007,66655,2.5,143,2610,Hybrid,CVT,81414,4,4
Hyundai,Tucson,2007,74737,4.0,329,3440,Gasoline,Automatic,69751,4,4
Hyundai,3 Series,2003,94692,3.0,240,4215,Gasoline,Automatic,43409,4,4
Ford,F-150,2004,90679,1.0,77,5085,Gasoline,Manual,15306,4,4
Audi,Altima,2004,22993,3.0,233,3150,Gasoline,Automatic,86567,4,4
Honda,C-Class,2012,26438,2.0,173,1800,Gasoline,Automatic,60185,4,6
BMW,Silverado,2000,64119,1.5,124,1800,Hybrid,Automatic,57641,4,8
BMW,Altima,2014,132683,2.5,208,3472,Gasoline,Manual,78726,4,4
BMW,3 Series,2014,66296,5.0,383,2769,Gasoline,Automatic,150000,4,6
Hyundai,Tucson,2005,24836,2.5,182,3445,Gasoline,Manual,53101,4,6
Chevrolet,Camry,2021,37695,5.0,417,4892,Gasoline,Automatic,106746,2,6
Hyundai,A4,2022,84707,2.0,130,3157,Diesel,Manual,53251,4,6
BMW,C-Class,2018,65195,1.5,118,3266,Gasoline,Automatic,74620,4,4
Volkswagen,F-150,2002,0,4.0,343,3973,Diesel,Automatic,95620,2,4
Toyota,Camry,2012,43482,4.0,296,4136,Gasoline,Automatic,81000,4,4
Nissan,3 Series,2004,90744,4.0,368,2805,Gasoline,Automatic,68009,4,6
Chevrolet,Tucson,2000,72768,1.5,128,2661,Gasoline,Automatic,21292,2,8
Audi,Altima,2008,7841,1.0,93,1800,Hybrid,Automatic,60799,4,6
Chevrolet,A4,2002,81668,1.5,137,1800,Gasoline,Automatic,35908,4,4
Hyundai,Civic,2018,72424,3.0,253,3540,Hybrid,Automatic,81528,4,4
Hyundai,C-Class,2000,38772,4.0,342,2157,Gasoline,Automatic,71443,4,8
Chevrolet,Civic,2014,87359,1.0,123,3501,Gasoline,Automatic,29361,4,4
Hyundai,Tucson,2021,108167,1.0,90,2697,Gasoline,CVT,36090,4,4
Hyundai,F-150,2018,70374,2.0,183,2237,Gasoline,Manual,63783,2,4
Toyota,A4,2010,79205,1.5,125,3383,Gasoline,Automatic,35489,4,6
Nissan,Silverado,2011,158936,6.0,466,3335,Gasoline,Automatic,99357,4,6
BMW,Altima,2015,128917,4.0,308,2144,Gasoline,Automatic,131026,4,4
Chevrolet,Camry,2009,52386,1.5,76,2229,Electric,Automatic,49012,4,6
Honda,F-150,2020,43443,4.0,315,3858,Gasoline,Automatic,105850,4,6
Chevrolet,F-150,2022,65572,4.0,256,1895,Gasoline,Manual,79531,4,4
Hyundai,C-Class,2011,43909,6.0,494,1800,Gasoline,Automatic,107804,4,8
Hyundai,Golf,2006,46441,1.0,90,3841,Gasoline,Automatic,22224,4,8
Honda,3 Series,2012,37525,5.0,402,2958,Gasoline,Manual,114657,4,4
Chevrolet,Civic,2020,209045,3.0,214,2954,Gasoline,Automatic,46241,4,4
BMW,3 Series,2023,97164,1.0,112,2864,Diesel,Automatic,85372,4,6
Ford,Civic,2015,78335,6.0,460,2309,Gasoline,Manual,115940,4,6
Nissan,Camry,2011,79087,5.0,394,4056,Gasoline,Automatic,85361,4,4
Audi,3 Series,2003,69004,1.5,146,2098,Diesel,Manual,51215,2,4
BMW,Camry,2005,106360,4.0,369,3852,Gasoline,Automatic,119743,2,4
Toyota,3 Series,2007,59266,2.5,203,2011,Gasoline,Automatic,55157,4,6
Nissan,F-150,2024,65898,3.0,224,3492,Gasoline,Automatic,78291,4,4
Honda,Camry,2005,154665,4.0,344,3699,Gasoline,Manual,67581,4,4
Volkswagen,A4,2003,78354,2.5,206,2440,Diesel,Automatic,45759,4,6
Chevrolet,C-Class,2017,92811,1.0,123,4575,Gasoline,Automatic,28121,4,4
Honda,Altima,2002,130257,2.5,186,3759,Gasoline,Manual,26993,4,4
BMW,3 Series,2017,43879,2.0,109,2595,Electric,Automatic,129302,4,6
Nissan,C-Class,2012,76220,3.0,248,2049,Gasoline,Automatic,63805,4,4
Volkswagen,F-150,2005,78568,4.0,267,1817,Electric,Manual,114592,4,6
Toyota,Altima,2002,104824,4.0,295,1998,Gasoline,Automatic,60454,4,6
BMW,F-150,2017,61292,3.0,234,2938,Hybrid,Manual,137056,4,6
Audi,Civic,2012,127058,6.0,511,3222,Diesel,Automatic,150000,4,4
Nissan,Altima,2009,53164,3.0,235,1800,Electric,CVT,98248,4,6
Audi,Tucson,2024,109338,1.0,72,1800,Gasoline,Automatic,61357,4,6
Volkswagen,Tucson,2000,9052,2.5,177,2428,Gasoline,Automatic,56818,4,4
Ford,Silverado,2001,140188,5.0,376,4648,Gasoline,Automatic,68054,4,4
Chevrolet,A4,2017,78201,5.0,350,2107,Diesel,Automatic,103411,4,4
Honda,3 Series,2016,0,3.0,266,3742,Diesel,Automatic,95539,4,4
Audi,Altima,2020,51066,5.0,401,3482,Gasoline,Manual,150000,2,4
Honda,Silverado,2015,86875,1.5,138,2693,Gasoline,Manual,45126,4,6
Chevrolet,Golf,2019,0,1.5,128,2498,Gasoline,Manual,51750,4,6
Honda,F-150,2023,82898,4.0,253,3114,Gasoline,Automatic,91816,4,6
Volkswagen,Camry,2004,42341,5.0,380,3182,Gasoline,Automatic,87985,2,4
Toyota,C-Class,2008,111156,1.5,119,3266,Gasoline,Automatic,25997,4,4
Honda,C-Class,2011,78433,3.0,246,3641,Gasoline,Manual,69258,4,6
Honda,Golf,2014,43241,4.0,339,2453,Diesel,Automatic,104283,4,4
Volkswagen,Silverado,2004,88827,2.5,227,2670,Gasoline,Automatic,55522,4,4
Ford,Golf,2001,16269,4.0,342,2754,Diesel,Automatic,76221,4,4
Honda,Tucson,2007,56966,4.0,283,4825,Diesel,Automatic,73702,4,4
Mercedes,Civic,2011,61496,2.5,171,3648,Diesel,Automatic,85833,4,4
Volkswagen,Altima,2003,58583,1.0,89,3605,Gasoline,Automatic,21202,4,4
Ford,Golf,2021,86721,5.0,410,2734,Hybrid,Automatic,114105,4,4
Mercedes,Silverado,2022,41286,5.0,380,2608,Diesel,CVT,150000,2,4
Honda,A4,2008,93718,4.0,296,2202,Gasoline,CVT,89201,4,4
Honda,Silverado,2016,39302,2.0,164,3127,Hybrid,Manual,65362,4,4
Mercedes,Altima,2011,100733,2.0,159,2548,Diesel,Automatic,93185,4,8
Hyundai,3 Series,2024,82417,6.0,486,2674,Electric,Automatic,150000,4,6
Hyundai,F-150,2020,51075,3.0,234,2691,Gasoline,Automatic,74993,4,4
Ford,C-Class,2000,105073,6.0,438,3422,Gasoline,Automatic,93486,2,4
Volkswagen,Camry,2005,131947,4.0,293,2485,Diesel,Automatic,79550,4,4
Honda,Altima,2014,71760,5.0,406,2311,Gasoline,Automatic,113240,4,6
Mercedes,Civic,2018,90225,2.0,188,3820,Gasoline,Automatic,87992,4,4
Ford,Tucson,2022,48599,2.5,168,2652,Hybrid,Automatic,85795,2,4
Audi,Camry,2003,81649,3.0,258,3027,Diesel,Automatic,90398,4,4
Hyundai,A4,2018,127089,1.5,130,2340,Gasoline,Automatic,38257,4,6
Audi,Silverado,2002,100322,3.0,239,2599,Diesel,Automatic,75622,4,4
Audi,Golf,2015,50802,1.5,112,2806,Diesel,CVT,74547,4,4
Audi,F-150,2005,33299,4.0,301,4162,Gasoline,CVT,92034,2,4
Hyundai,A4,2012,88458,2.5,220,2561,Gasoline,Automatic,57271,4,4
Ford,Golf,2021,0,2.0,193,1800,Gasoline,Manual,76201,4,8
Volkswagen,Civic,2024,63427,4.0,314,4075,Gasoline,Manual,112418,4,6
Mercedes,Tucson,2005,0,5.0,391,2631,Gasoline,CVT,150000,4,4
