Make,Model,Year,Mileage,Engine_Size_L,Horsepower,Weight_lbs,Fuel_Type,Transmission,Doors,Cylinders,Price
Nissan,Sentra,2021,71032,4.0,354,4357,Gasoline,Automatic,4,4,79951
Honda,Accord,2006,110597,6.0,410,2971,Gasoline,Manual,2,4,65822
Ford,Mustang,2012,124361,3.5,274,3680,Gasoline,CVT,4,4,52120
Nissan,Rogue,2021,62647,5.0,342,3358,Gasoline,Automatic,4,6,81420
BMW,X3,2017,100,6.0,414,2915,Diesel,Manual,4,4,101054
Mercedes,GLC,2014,62119,1.5,91,3430,Hybrid,Automatic,2,4,58085
Honda,CR-V,2017,87758,6.0,506,3534,Gasoline,Automatic,2,4,86508
Chevrolet,Tahoe,2011,96662,1.5,91,3750,Gasoline,Automatic,2,4,32076
Toyota,Tacoma,2024,113864,2.5,144,3872,Gasoline,Automatic,4,4,65170
Toyota,Tacoma,2019,102955,3.0,242,3197,Gasoline,Automatic,4,6,61293
Hyundai,Elantra,2017,129049,2.5,227,3291,Gasoline,Automatic,4,4,60997
Toyota,Corolla,2018,92350,2.5,126,3361,Gasoline,Automatic,4,4,54743
Honda,HR-V,2007,63019,2.0,106,3451,Gasoline,CVT,4,6,37150
Volkswagen,Golf,2021,17745,6.0,466,2459,Gasoline,Automatic,4,4,99555
Volkswagen,Tiguan,2013,24582,1.5,95,5243,Diesel,Automatic,4,6,39054
Chevrolet,Tahoe,2020,51127,5.0,312,2218,Gasoline,Manual,4,4,84452
Toyota,4Runner,2007,53320,5.0,302,5378,Hybrid,Automatic,2,6,65819
Honda,Civic,2018,56485,6.0,446,3772,Gasoline,Automatic,4,4,93235
BMW,X5,2015,130593,5.0,371,3221,Hybrid,Automatic,4,8,90566
Chevrolet,Silverado,2022,57570,3.0,173,1723,Diesel,Automatic,4,6,69012
Audi,A4,2018,31647,2.0,182,3576,Gasoline,CVT,4,4,67313
Volkswagen,Tiguan,2023,80930,6.0,445,4211,Gasoline,Automatic,4,4,106748
Hyundai,Santa Fe,2019,58537,3.5,270,3189,Gasoline,Automatic,4,4,67692
Hyundai,Santa Fe,2011,72145,3.0,305,2881,Gasoline,Manual,4,4,53096
Mercedes,E-Class,2023,55578,1.5,174,2968,Electric,Automatic,4,4,82486
Nissan,Rogue,2011,33104,2.5,183,2917,Gasoline,Automatic,4,8,45132
Nissan,Altima,2006,102909,4.0,324,3015,Hybrid,Automatic,4,4,56689
Toyota,Highlander,2014,61898,1.5,81,4417,Gasoline,Automatic,2,4,42173
Chevrolet,Equinox,2005,46759,4.0,233,4160,Diesel,CVT,2,8,52136
Volkswagen,Golf,2016,79986,1.5,157,2178,Gasoline,Automatic,4,4,47885
Toyota,Highlander,2021,159556,2.5,190,2443,Diesel,Automatic,4,6,50679
Mercedes,C-Class,2014,21970,2.5,147,2869,Gasoline,Automatic,4,4,72230
BMW,5 Series,2012,44175,2.0,136,3224,Gasoline,Automatic,4,8,52065
Mercedes,GLC,2008,93339,6.0,449,2667,Hybrid,Automatic,2,4,92379
Volkswagen,Atlas,2017,11107,2.5,208,2120,Gasoline,Automatic,2,4,59015
Nissan,Rogue,2008,38989,2.0,210,1643,Gasoline,CVT,4,4,37145
Chevrolet,Silverado,2016,41348,1.5,95,3459,Hybrid,Automatic,4,6,49108
Volkswagen,Golf,2005,97848,4.0,289,4439,Hybrid,CVT,4,4,61532
Nissan,Rogue,2010,123664,1.5,174,3876,Hybrid,CVT,4,4,47917
Mercedes,GLC,2011,44133,3.0,268,2524,Gasoline,Automatic,4,4,62730
Mercedes,GLE,2017,24795,5.0,361,3710,Gasoline,Automatic,4,4,90588
Hyundai,Santa Fe,2014,40679,4.0,294,2942,Gasoline,CVT,2,6,65080
Nissan,Altima,2010,13150,6.0,467,4498,Gasoline,Automatic,4,4,90779
Audi,Q5,2012,72271,3.0,270,3037,Gasoline,Manual,4,4,65108
Honda,HR-V,2020,87116,3.5,243,4575,Gasoline,Automatic,4,4,63356
Mercedes,GLE,2023,80881,2.5,251,2945,Gasoline,Automatic,4,4,76021
Volkswagen,Jetta,2023,82106,5.0,334,2168,Hybrid,Automatic,2,6,94054
Honda,CR-V,2012,42387,5.0,336,3305,Gasoline,Automatic,4,8,74235
Mercedes,E-Class,2020,51655,2.0,137,3852,Gasoline,Automatic,2,4,66959
Volkswagen,Golf,2012,31629,3.0,215,4033,Hybrid,Automatic,4,4,56791
Volkswagen,Jetta,2006,11923,3.5,309,4385,Electric,Automatic,4,6,56904
Toyota,Corolla,2008,38019,2.5,202,3451,Gasoline,Automatic,4,4,46609
Toyota,Corolla,2012,36188,1.5,133,4135,Diesel,Automatic,2,6,46669
Chevrolet,Tahoe,2006,59469,1.5,79,3957,Hybrid,Automatic,4,4,36642
Honda,CR-V,2013,60847,1.5,174,2111,Gasoline,Automatic,4,6,43799
Volkswagen,Golf,2020,58871,4.0,225,2586,Gasoline,Automatic,4,8,76327
Chevrolet,Malibu,2008,88143,2.5,261,2963,Diesel,CVT,4,4,42997
Volkswagen,Jetta,2017,40774,4.0,262,3086,Gasoline,Automatic,4,6,74443
Chevrolet,Tahoe,2013,25835,2.0,99,3385,Diesel,Automatic,4,4,47535
BMW,3 Series,2017,158021,3.5,208,3674,Gasoline,Automatic,2,4,72062
Ford,Escape,2011,65367,4.0,240,2874,Hybrid,Automatic,4,8,62537
Chevrolet,Tahoe,2015,86011,5.0,346,3100,Hybrid,Automatic,2,6,88532
Hyundai,Santa Fe,2010,73943,5.0,389,3727,Gasoline,Automatic,4,4,67785
Honda,CR-V,2011,41143,3.0,215,3972,Hybrid,CVT,4,4,55864
Mercedes,E-Class,2017,110694,2.0,204,4510,Gasoline,Automatic,4,4,60832
Hyundai,Elantra,2010,85979,3.5,279,2483,Gasoline,Automatic,4,4,52136
Honda,HR-V,2021,112461,6.0,433,2075,Electric,Automatic,4,6,98741
Ford,Escape,2017,112657,1.5,96,3651,Gasoline,Automatic,4,6,36938
Ford,Explorer,2009,89790,5.0,376,3486,Gasoline,Automatic,2,4,64489
Chevrolet,Equinox,2021,39648,3.0,235,4183,Gasoline,Automatic,4,6,70506
Toyota,Camry,2020,65287,2.5,202,4008,Hybrid,Automatic,4,4,76696
Audi,Q5,2012,75085,5.0,387,4586,Diesel,Automatic,2,6,84745
Chevrolet,Tahoe,2021,58642,3.0,216,4200,Gasoline,Automatic,4,6,68907
Volkswagen,Tiguan,2008,66547,1.5,139,4276,Hybrid,Automatic,4,4,41612
Toyota,Tacoma,2019,54120,1.5,148,3197,Electric,Automatic,4,4,68425
Volkswagen,Jetta,2020,91197,5.0,371,2195,Hybrid,Automatic,4,6,91790
BMW,5 Series,2009,148644,4.0,237,3655,Diesel,Automatic,4,6,60196
Toyota,Camry,2018,65942,1.5,178,3256,Hybrid,Automatic,4,4,60683
Chevrolet,Silverado,2024,50825,3.5,206,3996,Gasoline,Automatic,4,4,84643
Hyundai,Santa Fe,2015,32210,3.5,267,3571,Gasoline,Automatic,4,6,67877
Chevrolet,Tahoe,2024,86817,5.0,373,3845,Gasoline,Automatic,4,6,94134
Hyundai,Sonata,2015,61442,6.0,405,4907,Gasoline,Automatic,4,4,81750
Mercedes,E-Class,2017,92774,3.5,260,4749,Diesel,Manual,4,6,77158
BMW,X5,2012,64299,4.0,247,2866,Hybrid,Automatic,4,4,84027
Ford,Escape,2013,49015,6.0,472,2382,Diesel,Automatic,4,6,85011
Volkswagen,Atlas,2020,100,6.0,389,3945,Gasoline,Automatic,4,6,98768
Mercedes,GLE,2016,63325,5.0,297,3648,Electric,Automatic,4,4,92614
Nissan,Sentra,2005,87497,1.5,101,3560,Gasoline,Automatic,4,8,21843
Honda,HR-V,2007,84189,2.5,240,3628,Gasoline,Manual,4,4,43665
Toyota,Corolla,2020,101098,2.0,117,3373,Diesel,Automatic,4,4,48801
Mercedes,GLE,2007,73153,6.0,437,3256,Hybrid,Automatic,2,6,91173
BMW,3 Series,2006,82525,3.0,244,2961,Gasoline,Automatic,4,8,52301
Chevrolet,Equinox,2011,69727,5.0,346,3280,Gasoline,Automatic,4,4,70520
Audi,A4,2018,40162,2.5,122,2067,Gasoline,Automatic,4,4,63786
BMW,X5,2019,67903,4.0,225,5447,Hybrid,Automatic,2,4,93914
Audi,Q7,2006,98535,2.5,171,4089,Hybrid,Automatic,4,6,54722
Audi,Q5,2006,95391,1.5,79,3773,Gasoline,Manual,4,8,33675
Nissan,Altima,2010,4783,3.5,298,4037,Gasoline,Automatic,4,4,59770
Audi,Q7,2008,47752,3.5,302,4488,Gasoline,CVT,4,4,62291
Chevrolet,Silverado,2008,41443,3.0,178,3499,Gasoline,Automatic,4,4,43414
Toyota,Tacoma,2007,28463,1.5,126,4149,Gasoline,Automatic,4,6,37470
Nissan,Pathfinder,2014,47181,4.0,307,4469,Diesel,Automatic,4,6,65850
Nissan,Pathfinder,2009,46497,3.0,226,4028,Gasoline,Automatic,2,6,53088
BMW,3 Series,2012,57521,5.0,369,3465,Gasoline,Automatic,4,6,93377
Nissan,Altima,2022,93963,3.0,164,4274,Gasoline,Automatic,4,4,64138
Ford,Mustang,2021,15694,1.5,109,4030,Gasoline,Automatic,4,6,57844
Audi,Q5,2016,50058,5.0,387,3809,Gasoline,Automatic,4,4,100720
BMW,X5,2016,80019,3.0,191,3451,Diesel,Automatic,4,4,62671
Nissan,Altima,2014,81004,2.0,192,1607,Gasoline,Automatic,4,8,47649
Mercedes,C-Class,2011,78050,5.0,369,1856,Gasoline,Automatic,2,4,80175
Nissan,Rogue,2022,68196,2.5,160,4330,Diesel,Automatic,4,4,62586
Volkswagen,Jetta,2008,43982,3.5,278,4819,Gasoline,Automatic,4,4,53476
Chevrolet,Malibu,2010,109311,1.5,132,2789,Gasoline,Manual,4,4,31027
Volkswagen,Jetta,2006,44085,6.0,404,3240,Gasoline,Automatic,4,6,66314
BMW,X3,2007,56251,3.5,202,4047,Hybrid,Automatic,4,4,62934
Volkswagen,Tiguan,2021,94685,5.0,413,3028,Gasoline,Automatic,2,4,85239
Mercedes,GLE,2019,28205,2.0,114,4727,Hybrid,CVT,4,4,74180
Honda,CR-V,2018,16336,6.0,437,4044,Gasoline,Automatic,4,8,86844
BMW,X3,2015,86070,6.0,375,3686,Hybrid,Automatic,4,6,103903
Audi,Q7,2016,72291,2.0,129,4040,Gasoline,Automatic,4,4,60425
Toyota,Tacoma,2009,38454,1.5,135,3278,Gasoline,Automatic,2,4,29961
Hyundai,Sonata,2012,131872,5.0,376,1633,Gasoline,Automatic,4,4,64080
Honda,Civic,2015,47853,4.0,269,3065,Gasoline,Manual,4,4,67220
Audi,Q7,2005,106213,6.0,451,4217,Gasoline,Automatic,2,6,77201
Toyota,Highlander,2020,57720,4.0,201,3901,Hybrid,Automatic,2,4,83194
Chevrolet,Malibu,2021,7586,4.0,280,3413,Electric,Manual,4,4,92606
Ford,Escape,2012,31339,1.5,138,4162,Gasoline,Automatic,4,6,42865
Nissan,Pathfinder,2005,20935,5.0,369,4258,Gasoline,Automatic,4,6,62324
Audi,Q5,2012,57164,1.5,141,3685,Diesel,Automatic,2,8,49463
Mercedes,E-Class,2021,73560,4.0,249,2516,Gasoline,Automatic,4,8,88367
BMW,3 Series,2005,37920,4.0,259,3197,Hybrid,Automatic,4,6,71130
Ford,Escape,2008,5424,5.0,386,2561,Gasoline,Manual,2,6,71478
Audi,A6,2008,89751,1.5,166,4557,Gasoline,Automatic,4,6,41214
Ford,Escape,2023,65898,2.0,144,2741,Gasoline,Automatic,4,6,63882
Chevrolet,Silverado,2009,5743,1.5,70,3440,Gasoline,Automatic,4,4,32160
Toyota,Camry,2021,46170,5.0,306,3912,Gasoline,Automatic,4,4,85693
Volkswagen,Golf,2024,46620,1.5,113,3620,Gasoline,Manual,4,6,60889
Audi,Q5,2015,121874,3.5,224,2867,Gasoline,Automatic,4,4,67602
BMW,X5,2021,22204,3.5,247,3194,Gasoline,Automatic,2,6,80656
Honda,Accord,2010,31788,3.0,259,3536,Gasoline,CVT,4,6,48370
Ford,Ranger,2005,101694,2.0,158,3067,Gasoline,Automatic,4,6,24622
Honda,CR-V,2005,54666,2.5,185,3852,Gasoline,Automatic,4,6,35082
Hyundai,Tucson,2018,19171,1.5,108,3492,Hybrid,Automatic,4,6,61417
Volkswagen,Golf,2011,100,5.0,382,4260,Gasoline,Manual,4,4,73665
Ford,Escape,2020,54557,2.0,164,3434,Hybrid,Automatic,4,4,66932
BMW,5 Series,2022,98705,3.0,206,3356,Electric,Manual,4,8,90848
Audi,A4,2008,47229,2.0,201,1646,Diesel,Automatic,4,8,53438
BMW,3 Series,2024,20621,3.5,210,4002,Gasoline,Automatic,4,6,98117
Honda,Accord,2018,50437,3.5,272,3059,Hybrid,Automatic,4,4,76714
Ford,Ranger,2005,114297,6.0,405,3042,Hybrid,Automatic,4,4,75692
Hyundai,Tucson,2014,91888,1.5,111,4038,Gasoline,Automatic,4,6,36231
Honda,CR-V,2013,112615,1.5,147,3372,Hybrid,Automatic,4,6,45160
BMW,X5,2008,45768,4.0,271,3941,Gasoline,CVT,4,6,62558
Chevrolet,Silverado,2024,86507,4.0,267,4555,Gasoline,Automatic,4,4,74683
Mercedes,GLC,2011,56404,2.0,128,2649,Diesel,CVT,2,4,51078
Ford,Mustang,2011,48105,3.0,290,3213,Gasoline,Automatic,4,4,56761
Chevrolet,Silverado,2014,71222,2.5,193,2408,Gasoline,Automatic,2,4,40127
Ford,Explorer,2007,42347,1.5,223,4558,Gasoline,Manual,4,8,30677
Mercedes,GLE,2007,129731,2.5,227,4121,Gasoline,Automatic,4,4,48987
Nissan,Altima,2017,22920,1.5,147,3068,Gasoline,Automatic,4,4,56018
Hyundai,Elantra,2018,75096,3.5,263,3555,Diesel,Automatic,4,6,72144
Honda,HR-V,2008,29989,5.0,395,3552,Diesel,Automatic,4,6,75692
Chevrolet,Malibu,2015,30025,2.5,215,5062,Gasoline,Automatic,4,6,55384
Honda,Civic,2005,50004,1.5,158,2818,Gasoline,Automatic,4,8,28452
Ford,Mustang,2013,32282,4.0,275,4313,Electric,Automatic,2,4,73408
Nissan,Rogue,2013,41072,3.5,222,2812,Electric,Automatic,4,4,68143
BMW,X5,2019,47406,1.5,80,4988,Gasoline,Automatic,4,6,65183
Honda,Civic,2005,100,6.0,398,3767,Hybrid,Automatic,4,4,77248
Audi,A6,2013,100353,4.0,264,3038,Electric,Automatic,4,6,76403
Nissan,Altima,2020,65487,1.5,110,3463,Gasoline,Automatic,4,6,50905
Audi,Q5,2005,87187,1.5,167,3800,Hybrid,Automatic,4,4,40579
Audi,A6,2006,51071,3.5,320,3604,Gasoline,Manual,4,6,66589
Mercedes,E-Class,2024,13001,2.0,145,3975,Gasoline,Automatic,4,4,76986
Mercedes,GLE,2010,9469,2.0,246,3774,Gasoline,Automatic,4,4,61082
Audi,A6,2012,87247,2.0,133,3267,Hybrid,Automatic,4,8,53811
Toyota,4Runner,2014,36472,1.5,153,2492,Gasoline,Automatic,4,8,44322
Toyota,4Runner,2023,76618,2.0,137,4294,Gasoline,Manual,4,4,60926
Audi,Q7,2013,110714,4.0,189,3903,Gasoline,Automatic,4,6,67089
BMW,X3,2006,58375,4.0,251,4527,Gasoline,Automatic,4,4,68883
Hyundai,Santa Fe,2011,101299,1.5,95,4098,Gasoline,Automatic,4,6,28283
Toyota,Camry,2023,62091,3.0,157,3335,Hybrid,Automatic,2,4,73119
Honda,Civic,2022,85868,2.5,233,3173,Electric,Automatic,4,4,71341
Ford,Mustang,2006,82927,5.0,344,3132,Electric,CVT,4,4,62115
Ford,F-150,2022,37031,5.0,322,2254,Hybrid,Automatic,4,8,98442
Ford,Escape,2022,56109,3.5,252,3870,Gasoline,Automatic,4,4,68999
Hyundai,Elantra,2008,55687,5.0,326,3259,Gasoline,Automatic,2,4,65540
BMW,X5,2021,37022,2.0,134,3853,Gasoline,Automatic,4,4,68662
Audi,A6,2020,106927,3.0,233,3270,Gasoline,CVT,2,4,73568
Ford,Mustang,2013,106232,3.0,238,3628,Gasoline,Automatic,4,6,56943
Mercedes,E-Class,2018,37056,1.5,115,4294,Hybrid,Manual,4,4,70795
BMW,X5,2005,100,2.5,239,3623,Gasoline,Automatic,4,6,58719
Nissan,Pathfinder,2019,92669,5.0,415,2858,Gasoline,Automatic,2,6,83489
Audi,A6,2015,57517,4.0,205,3426,Gasoline,Automatic,4,6,75585
Mercedes,E-Class,2006,53768,1.5,177,4017,Hybrid,Automatic,4,4,51215
Chevrolet,Malibu,2011,24858,2.5,183,2232,Gasoline,Automatic,4,6,47742
Nissan,Sentra,2010,92315,2.5,166,4460,Gasoline,Automatic,4,4,41895
Toyota,RAV4,2010,112749,2.0,131,3825,Gasoline,Automatic,4,6,38527
Honda,CR-V,2018,121079,1.5,222,3573,Gasoline,Automatic,4,4,48432
Ford,Escape,2007,7596,5.0,378,3725,Gasoline,Automatic,4,6,70022
Honda,CR-V,2009,56222,6.0,469,2729,Gasoline,Automatic,2,4,78939
Mercedes,GLE,2020,54978,3.5,272,3682,Gasoline,Automatic,4,4,84497
Mercedes,GLC,2014,51839,2.0,161,4334,Hybrid,Automatic,2,4,66024
Audi,Q5,2009,54321,4.0,241,4157,Gasoline,Automatic,2,4,66208
Volkswagen,Golf,2015,106993,1.5,199,2579,Gasoline,Automatic,4,6,46386
BMW,3 Series,2016,73436,1.5,136,3492,Gasoline,Automatic,4,4,58536
Hyundai,Tucson,2010,63564,1.5,153,3087,Gasoline,Automatic,4,8,38702
Audi,A6,2020,33617,3.5,228,4465,Gasoline,Automatic,4,4,81774
Honda,CR-V,2009,74258,2.0,205,3122,Gasoline,Automatic,4,8,31100
Mercedes,GLC,2007,69716,4.0,296,3224,Gasoline,CVT,4,6,67800
Chevrolet,Tahoe,2008,55842,2.5,218,3798,Diesel,Automatic,4,6,41095
Nissan,Altima,2024,40126,1.5,91,3452,Diesel,Automatic,2,4,59639
Volkswagen,Jetta,2007,97445,2.5,203,3159,Gasoline,CVT,4,6,30809
Audi,A4,2007,91321,1.5,166,4067,Hybrid,Automatic,2,8,49236
BMW,5 Series,2016,81773,6.0,487,2431,Gasoline,CVT,4,6,96863
BMW,X5,2012,73949,2.5,253,3165,Electric,Manual,4,4,75933
Volkswagen,Tiguan,2017,111836,3.0,243,2742,Gasoline,Automatic,4,6,62093
Hyundai,Elantra,2013,88397,6.0,431,3525,Gasoline,Automatic,4,4,79734
Nissan,Pathfinder,2013,14326,2.0,142,3275,Gasoline,Automatic,4,4,50315
Chevrolet,Silverado,2005,109815,3.5,206,3212,Gasoline,Automatic,4,4,41039
Toyota,Tacoma,2019,1421,5.0,384,4233,Gasoline,Automatic,4,6,88591
BMW,3 Series,2018,92353,6.0,384,2438,Gasoline,CVT,4,4,92726
Mercedes,E-Class,2010,89204,2.5,169,4452,Gasoline,Manual,4,4,48937
Mercedes,E-Class,2008,24062,3.0,177,4648,Gasoline,Automatic,4,8,54285
Chevrolet,Silverado,2016,63823,3.5,305,3486,Gasoline,Automatic,4,4,69244
Audi,Q7,2020,13538,6.0,346,3018,Gasoline,CVT,4,6,108183
BMW,5 Series,2014,17066,1.5,120,3373,Gasoline,Automatic,4,4,53927
Honda,HR-V,2010,100,4.0,360,3075,Diesel,CVT,4,4,62925
Ford,F-150,2021,48889,3.0,177,2699,Hybrid,Automatic,4,4,74410
Toyota,4Runner,2019,92608,4.0,293,3936,Gasoline,Automatic,4,6,72304
Nissan,Rogue,2016,78072,3.5,164,3482,Gasoline,CVT,4,4,63140
Mercedes,GLC,2023,53100,4.0,321,4745,Gasoline,Manual,4,6,97264
Audi,A4,2011,55899,2.0,100,4468,Gasoline,Automatic,4,4,52522
Honda,Civic,2015,108636,2.5,208,3731,Gasoline,Automatic,4,4,48768
Mercedes,E-Class,2020,128236,2.5,208,2274,Diesel,Manual,4,4,62879
BMW,3 Series,2009,90347,2.0,95,2828,Gasoline,Automatic,4,4,39436
Toyota,Camry,2022,65717,5.0,305,4019,Diesel,Automatic,4,8,92150
BMW,X3,2019,71775,5.0,354,3790,Gasoline,Automatic,4,8,94659
BMW,3 Series,2006,36249,2.0,153,4105,Gasoline,Automatic,4,6,48187
Honda,HR-V,2023,69839,2.0,145,2901,Gasoline,Automatic,4,8,66101
Audi,Q7,2005,22507,3.5,266,4003,Gasoline,Automatic,4,6,54789
BMW,X5,2021,51599,2.5,213,4157,Diesel,Automatic,4,4,77441
Volkswagen,Golf,2019,83523,5.0,388,3580,Gasoline,Manual,4,4,82505
Ford,Ranger,2007,50082,5.0,354,3638,Gasoline,CVT,4,4,61327
Ford,Escape,2013,56391,6.0,366,3870,Gasoline,Manual,4,4,76190
Hyundai,Tucson,2020,96708,3.5,283,4334,Gasoline,Automatic,4,4,72910
Chevrolet,Malibu,2014,103170,2.0,139,2647,Gasoline,Automatic,4,4,46465
Hyundai,Elantra,2023,95722,6.0,432,3106,Hybrid,CVT,4,4,98444
Audi,Q5,2021,29973,2.0,82,3141,Gasoline,Automatic,2,4,71748
Honda,CR-V,2020,61064,3.5,240,4353,Hybrid,Automatic,4,6,80863
Toyota,Highlander,2015,112631,5.0,360,4376,Gasoline,Automatic,4,4,75291
Nissan,Rogue,2024,78796,1.5,127,2093,Gasoline,Automatic,2,6,59554
Honda,Accord,2006,62118,2.0,135,3151,Gasoline,Automatic,4,4,31653
Honda,Pilot,2020,44999,1.5,165,3044,Gasoline,Automatic,2,4,52477
Toyota,Camry,2012,31690,1.5,92,3290,Electric,Automatic,4,6,49702
Nissan,Pathfinder,2006,73536,3.0,243,5327,Gasoline,Automatic,2,4,44925
Audi,A6,2016,78902,3.5,324,3504,Electric,Automatic,4,4,88183
Audi,Q5,2012,100,1.5,109,4389,Hybrid,Automatic,4,4,67836
Ford,F-150,2006,37062,6.0,448,3949,Hybrid,Automatic,2,6,78108
Mercedes,E-Class,2014,94901,4.0,293,3760,Gasoline,Automatic,4,6,74024
Chevrolet,Equinox,2009,83018,2.0,147,4518,Hybrid,CVT,4,4,50320
Mercedes,C-Class,2007,100261,1.5,129,4240,Gasoline,CVT,2,4,34183
Hyundai,Elantra,2015,112007,6.0,408,2568,Diesel,Automatic,2,6,82218
